"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.93789946234503e-145,0.689859454687981,1,0.995,4.02903532265997e-141,"0","RPS6"
4.53727576634131e-144,0.739653536242594,1,0.991,6.22241998596048e-140,"0","RPS12"
1.89978202825392e-140,0.63300854589443,0.999,0.995,2.60536107354742e-136,"0","RPL32"
2.25620580693753e-137,0.72616932821223,0.999,0.992,3.09416064363413e-133,"0","RPS27"
1.83357237160373e-133,0.636751922180661,1,0.994,2.51456115041736e-129,"0","RPS14"
2.20242953300411e-129,0.791171377346295,0.997,0.975,3.02041186156184e-125,"0","RPS25"
9.51983695006995e-121,0.777079827413269,0.999,0.963,1.30555043933259e-116,"0","RPL31"
1.09329622580084e-119,0.773509744821653,0.999,0.97,1.49934644406327e-115,"0","RPL9"
1.36032256361057e-116,0.820487830411812,0.999,0.974,1.86554636373553e-112,"0","RPS3A"
4.73530874649751e-115,0.602605525636221,1,0.994,6.49400241494669e-111,"0","RPS3"
5.31561915542803e-114,1.18631367768225,0.912,0.591,7.289840109754e-110,"0","LDHB"
8.78526383250315e-114,0.555859507756069,1,0.996,1.20481108198948e-109,"0","RPL13"
1.25921375031886e-110,0.601657329159607,0.997,0.995,1.72688573718729e-106,"0","RPL3"
1.61615119198289e-110,0.680637717431842,1,0.979,2.21638974468533e-106,"0","RPL30"
3.07178871269164e-110,0.677045080841985,0.997,0.991,4.21265104058531e-106,"0","RPL21"
1.16637368345308e-108,0.652735826671807,0.997,0.983,1.59956486948755e-104,"0","RPS15A"
3.95832685867409e-106,0.776840281420051,0.997,0.966,5.42844945398565e-102,"0","RPS27A"
3.90295800608249e-103,0.603490359014202,1,0.99,5.35251660954153e-99,"0","RPLP2"
1.09333878342203e-98,0.536993814174275,0.994,0.991,1.49940480758498e-94,"0","EEF1A1"
1.07494300741545e-97,0.712983810438894,0.987,0.961,1.47417684036955e-93,"0","RPS13"
5.18060240217526e-95,0.52656579017424,1,0.996,7.10467813434316e-91,"0","RPS18"
8.21508741832429e-93,0.471414792952991,1,0.995,1.12661708854899e-88,"0","RPL11"
6.47279266194895e-92,0.478047537028325,1,0.999,8.87678785659678e-88,"0","RPL13A"
1.08417383093529e-89,0.64411559122558,1,0.999,1.48683599174465e-85,"0","MALAT1"
1.61223552114668e-88,0.537365035128509,0.999,0.988,2.21101979370055e-84,"0","RPL27A"
2.09522386757385e-88,0.58671445844895,1,0.98,2.87339001199078e-84,"0","RPL35A"
1.28992768898232e-87,0.640866601998308,0.991,0.969,1.76900683267036e-83,"0","RPS28"
8.99662890507049e-87,0.593816280529881,1,0.976,1.23379768804137e-82,"0","RPS23"
2.27900808261918e-86,0.768372994027275,0.993,0.903,3.12543168450394e-82,"0","RPS29"
7.84041802964196e-86,0.606740988586878,0.997,0.982,1.0752349285851e-81,"0","TPT1"
2.3597269257118e-85,0.710036005408741,0.991,0.941,3.23612950592116e-81,"0","RPS20"
7.50522754553346e-84,0.556875060225019,1,0.988,1.02926690559446e-79,"0","RPL23A"
1.30570477702554e-83,2.35014875895462,0.439,0.11,1.79064353121282e-79,"0","CCR7"
5.34142676482145e-82,0.523043602318953,0.997,0.992,7.32523266527613e-78,"0","RPS4X"
2.61339668536946e-78,1.06288748412682,0.85,0.403,3.58401221431567e-74,"0","CD3D"
1.08245622179922e-76,0.607521380180541,0.988,0.969,1.48448046257546e-72,"0","RPL5"
2.06494968499852e-75,0.370908410211599,1,0.997,2.83187199800697e-71,"0","RPL10"
1.22348421036693e-73,0.541198309425771,0.996,0.982,1.67788624609721e-69,"0","RPS16"
9.84317632855942e-73,0.402245303930948,0.999,0.993,1.34989320169864e-68,"0","RPL19"
7.09147901508533e-71,0.547055856689398,0.991,0.985,9.72525432128802e-67,"0","RPL10A"
